Completion,Score
"This patient's history of recurrent kidney stones, osteopenia, and high-dose vitamin D supplementation, along with laboratory findings of hypercalcemia and hypercalciuria, suggest the possibility of vitamin D toxicity. Excessive intake of vitamin D can cause increased absorption of calcium from the gut, leading to hypercalcemia and hypercalciuria, which can result in kidney stones and bone loss. Treatment would involve stopping the vitamin D supplementation and potentially providing intravenous fluids and loop diuretics to promote the excretion of calcium.",80.0
"This child's symptoms of a red, bulging tympanic membrane with systemic symptoms such as fever and headache, and the additional symptoms of dizziness and a spinning sensation, raise concern for complications of acute otitis media. The differential diagnosis could include labyrinthitis or possibly even mastoiditis. Urgent evaluation, including further imaging studies such as a CT or MRI scan, may be necessary. This child likely requires admission for intravenous antibiotics and possibly surgical intervention if mastoiditis is confirmed.",80.0
"While the symptoms might initially suggest asthma, the lack of response to bronchodilators indicates a different cause. A possible diagnosis in this case might be idiopathic pulmonary fibrosis, a type of lung disease that results in scarring (fibrosis) of the lungs for an unknown reason. High-resolution CT of the chest would be the next step in diagnosis.",60.0
"The patient's symptoms suggest an incarcerated hernia with suspected bowel obstruction. This requires urgent surgical consultation for potential hernia reduction and repair. If the incarcerated tissue cannot be reduced or if there is suspicion of strangulation (compromised blood supply), an emergency surgery is required to prevent tissue necrosis.",80.0
"The infant's symptoms suggest neonatal conjunctivitis (ophthalmia neonatorum), likely due to maternal transmission of Chlamydia trachomatis during delivery. Urgent ophthalmological evaluation is necessary, and systemic antibiotics are usually required.",80.0
"This patient's symptoms are indicative of osteoarthritis (OA) of the knee, a condition often associated with obesity due to increased mechanical stress on weight-bearing joints. To confirm the diagnosis, an X-ray of the knee may be ordered, which could show joint space narrowing and osteophytes, characteristic of OA. The treatment would involve weight loss, physical therapy, pain management with NSAIDs, and in severe cases, joint replacement surgery.",60.0
"Her symptoms suggest cerebral malaria, a severe form of Plasmodium falciparum malaria that affects the brain and can cause altered consciousness, seizures, and neurological abnormalities. This is a medical emergency. Immediate confirmation of diagnosis with a blood smear or RDT is required, and if confirmed, the patient should be admitted to the hospital for parenteral antimalarial treatment and supportive care.",100.0
"This patient's presentation of exertional chest pain relieved by rest is consistent with stable angina, likely due to coronary artery disease from atherosclerosis. The ST depressions on the EKG during an episode of pain suggest myocardial ischemia. The next step would include further evaluation of his coronary arteries, likely with a stress test, and beginning medical management for angina and atherosclerosis.",60.0
"This patient's symptoms suggest a type of stroke known as lateral medullary syndrome or Wallenberg's syndrome, which involves the medulla of the brainstem. Immediate actions should include stabilizing the patient, followed by neuroimaging with a CT scan and possibly an MRI to confirm the diagnosis.",80.0
"In a patient with a history of breast cancer who is on medication, it is important to consider aromatase inhibitor-induced arthralgia. Aromatase inhibitors, a treatment for hormone receptor-positive breast cancer, can cause joint pain and stiffness, mimicking the symptoms of rheumatoid arthritis. If the symptoms significantly affect her quality of life, her oncologist may consider switching to another type of medication, if possible.",60.0
